"","GeneSymbol","log2FoldChange","pvalue","padj"
"1","COL1A1",0.579415360371481,0.0592136506883328,0.412126031089477
"2","MT-CO1",-0.0377292253316254,0.801656331545279,0.948453428560637
"3","RPS20",-0.122545556228135,0.568511268223909,0.869631919001151
"4","MT-ND4",0.0099662710441872,0.946941321359877,0.987858993988472
"5","MT-CO3",-0.124614307726488,0.484691037543027,0.829480293234226
"6","IGKC",0.697282798302066,0.17653315968566,0.599347487755261
"7","EEF1A1",-0.094274062285432,0.537722803872459,0.85625638666616
"8","MT-CO2",-0.158988503454235,0.347948872278404,0.749539999826049
"9","MT-ND1",-0.185759457760326,0.298040535953903,0.711274027893804
"10","FN1",0.62852189242523,0.075309089244318,0.45169548775895
"11","MT-CYB",0.0222383446636237,0.89877720708206,0.975877226035242
"12","CD74",-0.0781822316761895,0.727418798566059,0.932173335889006
"13","CLU",-0.240429357549071,0.451462975037428,0.811446429375262
"14","ACTB",0.124833307949639,0.273161531697789,0.690189381844337
"15","COL1A2",0.405366008325933,0.154866112576937,0.572589846554257
"16","MT-ND2",-0.0362041029737315,0.820811298224836,0.95474114809613
"17","GAPDH",-0.247802061652085,0.083791880034912,0.467058419283883
"18","COL3A1",0.490302242124727,0.134826619361974,0.548076951841666
"19","C3",-0.201159979158189,0.496058421278981,0.835679916716976
"20","BCAM",0.275896307339416,0.205739726650524,0.632603434113159
"21","RPS2",-0.182797095412816,0.362621107693629,0.760593756166843
"22","RPL32",-0.402756013059772,0.0803347176234377,0.460096996320772
"23","RPL28",-0.408897911564444,0.0585202298097608,0.409731778513949
"24","IGHG1",0.638616428743468,0.2013603441022,0.628680365260681
"25","RPL10",-0.36036807955663,0.0835396102769022,0.466940556639693
"26","RPL18A",-0.383724402873523,0.0587589258917634,0.410891616857186
"27","RPLP0",-0.307863932945296,0.0744568590674241,0.450531081411023
"28","RPS4X",-0.532145497062327,0.00173481003877269,0.118719530364204
"29","ACTG1",-0.017813230152537,0.871333738752312,0.968895911798985
"30","RPLP1",-0.371964976641564,0.115972191549644,0.520570376810882
"31","LCN2",-0.747403700790501,0.0611033192085367,0.414235590709118
"32","MT-ATP6",-0.0894558019464064,0.595199276497331,0.880368565029044
"33","RPS3",-0.23415314124741,0.261131297466031,0.680758050359524
"34","RPL8",-0.0862751400865491,0.670934086955763,0.911182021430226
"35","IFI6",-0.309075003920873,0.343489397071701,0.746372352825392
"36","RPL13",-0.182350259612332,0.407796063469377,0.789163562831748
"37","RPS18",-0.0480670785482941,0.825575596823217,0.955601627578317
"38","RPL13A",-0.222546004160731,0.26434291234893,0.683495045927814
"39","SPARC",0.325724268197793,0.204539842832595,0.631193584425664
"40","MT-ND5",-0.0687587375438367,0.670776024067805,0.911075197285332
"41","WFDC2",-0.563402406763304,0.0329172902028773,0.333205141850332
"42","RPL37A",-0.456243264686611,0.0299880458105089,0.32357527766223
"43","PABPC1",-0.0360892862509563,0.841318636176522,0.959366211570012
"44","RPS16",-0.275570596303447,0.174673688618927,0.597564756205501
"45","RACK1",-0.127484175831674,0.474771801822903,0.824347693507486
"46","SLPI",-0.0680280856927115,0.818708385976811,0.95474114809613
"47","RPS8",-0.287250982658907,0.119396884990082,0.525185268670114
"48","FTL",-0.138935107077149,0.319171112252758,0.727484718136301
"49","RPS6",-0.148751543716459,0.434492084077689,0.801726642592795
"50","SPON1",0.0769731294752354,0.801538724570596,0.948438092924532
"51","TMSB4X",-0.388987034686536,0.0566416252677354,0.404084185161054
"52","SST",-2.44792085381852,2.81673434748737e-05,0.0142213787499807
"53","B2M",-0.398496074897544,0.0396062541456432,0.356656211217802
"54","LY6E",-0.0853067107269658,0.730989704834311,0.933394764445887
"55","IFITM3",-0.143328812029629,0.471426284349251,0.822683487892821
"56","RPS11",-0.234764578056676,0.235277517180346,0.661452921418251
"57","RPL15",-0.201169304490509,0.240045285430314,0.664503848359718
"58","EEF2",-0.150448418024751,0.32645625462865,0.733418518959361
"59","MUC16",-0.0285003194693318,0.924455207720682,0.982010870602421
"60","RPL3",-0.0105248217636904,0.950249380888773,0.987886995379826
"61","ENO1",-0.164837635775819,0.329133301022235,0.736004105779797
"62","FTH1",-0.49210243184079,0.00842592071411684,0.206454659084765
"63","RPLP2",-0.506800916111378,0.0134788357141563,0.245070927973881
"64","PKM",-0.252251475367232,0.0716533966460257,0.442835674251265
"65","MDK",-0.287197780352039,0.207695139113256,0.634745499585814
"66","CTSB",-0.240856326082954,0.13029652388529,0.541379663855125
"67","RPL4",-0.195420196502781,0.231835227859976,0.659385185859627
"68","RPL37",-0.170430223091792,0.416853567560423,0.794442694083989
"69","KRT8",-0.0837535898309408,0.627736181856125,0.894634517499583
"70","HSPB1",-0.28100802201773,0.204986096474408,0.631660767689439
"71","RPL29",-0.103137099132862,0.614387477717147,0.889780946821365
"72","BCAT1",0.925805408333118,0.0124834934191721,0.238140193521066
"73","IFI27",-1.02762779738302,0.00226096604197653,0.132446072596828
"74","CD24",-0.0797055459091847,0.714017439633159,0.926575068050163
"75","TMSB10",-0.369125094359025,0.0327365047099928,0.332172084224908
"76","RPL27A",-0.435374792034008,0.0240154842647062,0.294458609009242
"77","RPS14",-0.197935676931361,0.347550873448652,0.749179871418727
"78","TPT1",-0.465492758647576,0.0195721403401287,0.276713770085703
"79","MT-ND3",-0.183659860615061,0.327139595783624,0.733867737006853
"80","RPL12",-0.439412518838981,0.0190918803789775,0.273768175871435
"81","RPS27",-0.340247859037832,0.107095947863246,0.504133276083715
"82","RPS5",-0.324835699035281,0.134115220619357,0.546912436081327
"83","PTMS",-0.157650482616347,0.38198669894707,0.772974310504483
"84","GPX3",-0.426769272149148,0.232040325351567,0.659385185859627
"85","RPL5",-0.156365381264603,0.329122968836607,0.736004105779797
"86","MSLN",0.39450279234526,0.157419367255425,0.575844151351354
"87","IGFBP2",-0.132631921028354,0.538855935593594,0.856403224750063
"88","RPS28",-0.626606744386557,0.0148471113633471,0.254320024593239
"89","FLNA",0.187574661780991,0.299061700523206,0.711783138056488
"90","GNAS",0.0152163360959918,0.908680709351635,0.977797940535623
"91","RPSA",-0.345129830445069,0.0822350821573822,0.463733200947065
"92","LGALS3BP",-0.197911204874229,0.208024427373062,0.634745499585814
"93","HLA-B",-0.0905193191798975,0.691918003062015,0.919511928079226
"94","ACTN4",0.25277809513267,0.107340338443637,0.504504031741713
"95","SLC34A2",-0.131434438735801,0.634444279369859,0.898272202111498
"96","RPL35",-0.59588585131626,0.00390270073353898,0.160342424350824
"97","RPL23A",-0.279611432372331,0.184034534177928,0.608203128538644
"98","HLA-C",-0.280095997022098,0.210171431334713,0.637312026063524
"99","BGN",0.29390396673651,0.270322417405266,0.687686185583657
"100","RPL6",-0.291254054343709,0.0868771197778072,0.473194675623941
"101","RPL18",-0.202475236529283,0.30667123159406,0.718186002658798
"102","HSP90AB1",0.266508744242979,0.0241141662540096,0.294555837253279
"103","HLA-DRA",-0.305451705500866,0.193903079459311,0.619983345618541
"104","H19",0.731304237010605,0.129917338356597,0.540738277713719
"105","RPS24",-0.120063965036024,0.561266784686958,0.866858671585473
"106","COL6A1",0.231722571797836,0.386772389564875,0.775749515907724
"107","RPL7A",-0.161035070664809,0.361440140720659,0.759429059565303
"108","RPS19",-0.349037341036923,0.0856455244758602,0.470808879057496
"109","COL6A2",0.261244955726516,0.324910379940621,0.732253964310326
"110","RPS26",-0.273106563218685,0.259901799635633,0.678810080207102
"111","PSAP",0.025278858212687,0.835437929842204,0.957596543799506
"112","RPL9",-0.181471468547543,0.35176208204632,0.752348341955525
"113","S100A6",-0.267704569473279,0.32646501623856,0.733418518959361
"114","TPI1",-0.409587339008091,0.00554609741248475,0.179901736341613
"115","MUC1",0.0371029678757126,0.877956777483501,0.970375219915551
"116","RPS15",-0.421008937381482,0.0335956406213132,0.334986273658994
"117","RPL11",-0.371928041811257,0.0470110860727414,0.378556387246247
"118","IGHM",1.20864400181066,0.0174301771132046,0.265798084610482
"119","LDHA",-0.373007258045409,0.0224633376382626,0.289159791014915
"120","RPS9",-0.303071204447378,0.117761849235209,0.523657728358217
"121","HSPA8",-0.0921747120708548,0.52762756592887,0.851399026839768
"122","RPS3A",-0.108977837834249,0.596100165846121,0.880747496376117
"123","RPL35A",-0.186436309539403,0.350462328012247,0.751321390114952
"124","RPL19",-0.265779578145625,0.0969297476250964,0.491076993626082
"125","HSP90AA1",-0.191614276842994,0.148642362991946,0.564081257253552
"126","UBA52",-0.489083918150287,0.00591503660444675,0.183341925856794
"127","SLC25A6",-0.280922016253371,0.174334676266494,0.596968175550075
"128","PTMA",-0.155260682514539,0.165857828759382,0.587601726089687
"129","RPL10A",-0.106029536984901,0.544798184172637,0.859481786151363
"130","RPL38",-0.393045938723042,0.0538889536447067,0.396103858559604
"131","RPL27",-0.381668183387517,0.0350707046278305,0.341390920798761
"132","IGFBP5",-0.112832803187685,0.679758105164121,0.914803578596919
"133","TPM4",-0.0271365034665372,0.835099489746446,0.957596543799506
"134","RPS7",-0.185155342883801,0.338453880049839,0.74396982921172
"135","CD9",-0.170066775565939,0.359449061284132,0.75798160126771
"136","IGHA1",-0.0526892599160034,0.906676661896383,0.977188276671885
"137","TNFAIP2",-0.318971026415772,0.268010216968637,0.686005488895716
"138","RPL7",-0.116797823806869,0.522448669375868,0.848223079049572
"139","RPL31",-0.476536209674979,0.0182047440121366,0.270633496138535
"140","TMBIM6",-0.288337375792938,0.00602577978155966,0.184087393858874
"141","RPS21",-0.395083214776685,0.0689687094805178,0.434669584192331
"142","CLDN3",-0.353318884098798,0.0671242402205884,0.429915392833927
"143","MMP11",0.637846430297336,0.123380282666674,0.531210919497219
"144","MT-ND6",-0.142880084735574,0.432170787724586,0.800876363526413
"145","RPL14",-0.229670397851477,0.197538206772818,0.624830215195539
"146","CALR",0.0119775989898705,0.916972303683125,0.980267042207951
"147","PLEC",0.164519199862325,0.391029060925706,0.779517583726493
"148","SPP1",-0.064756286185999,0.799836738457416,0.9477923302526
"149","AGRN",0.0839196475559301,0.623569052221414,0.893851511835127
"150","RPS29",-0.478645361774049,0.0288706928321539,0.318037435150444
"151","KRT19",0.0482423514205258,0.809119208012204,0.95089695968604
"152","YWHAZ",-0.0613720346340043,0.671837673658593,0.911310068039791
"153","FOLR1",-0.160246139553703,0.607801917133397,0.886914550884444
"154","LAPTM4B",-0.0457660738953729,0.797779497818674,0.947561388024125
"155","TUBB",-0.0607174853792975,0.59900427066057,0.88132217519804
"156","MYH9",0.240360711957762,0.106215162604063,0.503486020105217
"157","CD81",-0.186190330834493,0.278976682438081,0.694385432185933
"158","CRABP2",-0.0352022564432628,0.880390425934125,0.971073934184665
"159","UBA1",0.0721723459585896,0.624355787595127,0.893910124800097
"160","KRT18",-0.14512442044565,0.439350917888383,0.804284099469125
"161","RPS25",-0.392192771920542,0.050349055762349,0.385421343302079
"162","PPDPF",-0.176638843152073,0.362747996213317,0.760719445631029
"163","COL5A1",0.487363646984924,0.139016612592102,0.553099268981698
